match_id,days_until_match,seat_zone,zone_historical_sales,ticket_price,ea_opponent_strength,web_visits,weather_forecast,is_weekday,is_international,opponent_tier,top_player_injured,league_winner_known,team_position,is_holiday,popular_concert_in_city,flights_to_barcelona_index,google_trends_index,internal_search_trends,social_media_sentiment,web_conversion_rate,zone_seats_availability,ticket_availability_pct,competitor_avg_price
1,90,VIP,0,129.85,82,6683,Windy,True,False,B,False,True,5,False,False,20,20,783,0.07,0.0,500,1.0,112.71104049723094
1,89,VIP,0,129.63,82,6191,Sunny,True,False,B,False,True,2,False,False,20,20,657,0.08,0.0,500,1.0,152.79802291380742
1,88,VIP,0,126.12,82,6849,Sunny,True,False,B,False,True,5,False,False,20,20,580,0.09,0.0,500,1.0,101.03329151184391
1,87,VIP,0,114.8,82,7266,Sunny,True,False,B,False,True,1,False,False,23,20,844,0.11,0.0,500,1.0,109.7796730017515
1,86,VIP,0,125.34,82,7111,Sunny,True,False,B,False,True,1,False,False,23,20,820,0.1,0.0,500,1.0,109.90837526586927
1,85,VIP,0,121.57,82,5343,Windy,True,False,B,False,True,1,False,False,20,20,582,0.08,0.0,500,1.0,104.3992269691683
1,84,VIP,0,121.2,82,6634,Sunny,True,False,B,False,True,4,False,False,20,20,777,0.17,0.0,500,1.0,132.52475928685314
1,83,VIP,0,124.81,82,5851,Sunny,True,False,B,False,True,3,False,False,20,20,560,-0.02,0.0,500,1.0,108.28404814374375
1,82,VIP,0,125.33,82,5426,Sunny,True,False,B,False,True,2,False,False,20,20,475,-0.02,0.0,500,1.0,135.81755881846624
1,81,VIP,0,109.05,82,6425,Sunny,True,False,B,False,True,1,False,False,20,20,671,0.17,0.0,500,1.0,106.18767555483414
1,80,VIP,0,120.76,82,8001,Sunny,True,False,B,False,True,5,False,False,22,20,779,0.02,0.0,500,1.0,133.52149093320259
1,79,VIP,0,128.77,82,7061,Sunny,True,False,B,False,True,5,False,False,20,20,843,0.06,0.0,500,1.0,132.22515969962475
1,78,VIP,0,131.18,82,6816,Sunny,True,False,B,False,True,2,False,False,20,20,666,0.04,0.0,500,1.0,108.10625208900044
1,77,VIP,0,122.67,82,5561,Rain,True,False,B,False,True,3,False,False,20,20,571,0.17,0.0,500,1.0,105.8202246991842
1,76,VIP,0,109.65,82,7898,Sunny,True,False,B,False,True,3,False,False,21,20,801,0.17,0.0,500,1.0,117.42149622010214
1,75,VIP,0,121.64,82,6527,Sunny,True,False,B,False,True,3,False,False,20,20,638,-0.01,0.0,500,1.0,129.59531979469944
1,74,VIP,0,116.79,82,7868,Sunny,True,False,B,False,True,4,False,False,23,20,794,0.01,0.0,500,1.0,103.42893320238855
1,73,VIP,0,110.01,82,6582,Sunny,True,False,B,False,True,1,False,False,21,20,738,0.13,0.0,500,1.0,111.62248172972542
